iter	Tweedie:variance_power=1.5
348	8.838499224
349	8.837894163
350	8.836959508
351	8.836162508
352	8.835584697
353	8.834769279
354	8.834147769
355	8.833567673
356	8.832885641
357	8.831409722
358	8.830655132
359	8.829616842
360	8.829054467
361	8.827948723
362	8.827107557
363	8.82614735
364	8.825224446
365	8.824563188
366	8.823651131
367	8.823256841
368	8.822542912
369	8.821871969
370	8.821077367
371	8.820183982
372	8.819588884
373	8.818864703
374	8.818301346
375	8.817416422
376	8.817082767
377	8.816450684
378	8.815857954
379	8.815078246
380	8.814143257
381	8.813838386
382	8.812766554
383	8.812354973
384	8.811869552
385	8.810940782
386	8.81008691
387	8.809409263
388	8.809017003
389	8.808344809
390	8.807780298
391	8.807240053
392	8.806538018
393	8.805967977
394	8.805428352
395	8.8048462
396	8.804433841
397	8.803883868
398	8.803206121
399	8.802923747
400	8.802124514
401	8.801168559
402	8.800762371
403	8.80020024
404	8.799343254
405	8.798801229
406	8.798242576
407	8.797587734
408	8.796828266
409	8.796133455
410	8.795314203
411	8.794769736
412	8.794121643
413	8.793630585
414	8.793163562
415	8.792570334
416	8.791960846
417	8.790920198
418	8.79031195
419	8.789934829
420	8.789179422
421	8.788782904
422	8.788066462
423	8.787474247
424	8.786300984
425	8.785282755
426	8.784602595
427	8.784106176
428	8.783720267
429	8.782750289
430	8.781943821
431	8.781417534
432	8.780474039
433	8.779835378
434	8.778911461
435	8.778223532
436	8.777933754
437	8.777101791
438	8.776473378
439	8.775590962
440	8.775318544
441	8.77459227
442	8.774114608
443	8.77351931
444	8.773244689
445	8.772727971
446	8.772567893
447	8.771894935
448	8.771149577
449	8.770494702
450	8.769936073
451	8.769317709
452	8.768449689
453	8.767695196
454	8.767000151
455	8.766253199
456	8.765798758
457	8.765220976
458	8.764611958
459	8.764013641
460	8.76338508
461	8.762806218
462	8.76204961
463	8.761405974
464	8.760892294
465	8.760195587
466	8.759671945
467	8.758996948
468	8.758618072
469	8.758038253
470	8.757376862
471	8.756680315
472	8.756179732
473	8.755989101
474	8.755473025
475	8.754902374
476	8.754139925
477	8.753494933
478	8.753052015
479	8.752755791
480	8.752101001
481	8.751358467
482	8.750779568
483	8.750040197
484	8.749353686
485	8.74908416
486	8.748773518
487	8.748266897
488	8.747522089
489	8.747214469
490	8.746493709
491	8.74583833
492	8.744966755
493	8.744296522
494	8.743637345
495	8.743099558
496	8.742673136
497	8.74236926
498	8.741723261
499	8.741349956
